id,City,State,District,Density,Latitude,Longitude,Rating,Number of Reviews
Hospital #0,Anantpur,Andhra Pradesh,Ananthapuramu,219.608,14.69653257,77.58456968,4.1,229
Hospital #1,Anantpur,Andhra Pradesh,Ananthapuramu,219.608,14.6606346,77.57934211,4.9,19172
Hospital #2,Chitoor,Andhra Pradesh,Chittoor,273.23,13.22921717,79.08447239,3.9,139
Hospital #3,Chittoor,Andhra Pradesh,Chittoor,273.23,13.30343518,78.97211671,4,92
Hospital #4,East Godavari,Andhra Pradesh,East Godavari,715.46,16.97099472,82.23039625,4.8,8090
Hospital #5,East Godavari,Andhra Pradesh,East Godavari,715.46,16.33095886,80.46155514,4.4,467
Hospital #6,Guntur,Andhra Pradesh,Guntur,855.9,16.30466537,80.42615158,4.8,1121
Hospital #7,Guntur,Andhra Pradesh,Guntur,855.9,16.29943923,80.02127094,4.5,479
Hospital #8,Guntur,Andhra Pradesh,Guntur,855.9,16.2778202,80.0396218,4.6,940
Hospital #9,Guntur,Andhra Pradesh,Guntur,855.9,16.33898383,80.55891799,4,38
Hospital #10,Guntur,Andhra Pradesh,Guntur,855.9,16.2769376,80.43699796,4.8,1989
Hospital #11,Guntur,Andhra Pradesh,Guntur,855.9,16.35681098,80.41093696,4.3,439
Hospital #12,Guntur,Andhra Pradesh,Guntur,855.9,16.24837819,80.36956293,4,392
Hospital #13,Guntur,Andhra Pradesh,Guntur,855.9,16.39529729,80.50233162,3.1,487
Hospital #14,Guntur,Andhra Pradesh,Guntur,855.9,16.25050766,80.35677881,3,252
Hospital #15,Guntur,Andhra Pradesh,Guntur,855.9,16.23115385,80.48399401,2.7,26
Hospital #16,Guntur,Andhra Pradesh,Guntur,855.9,16.48637886,80.04728022,3.4,76
Hospital #17,Guntur,Andhra Pradesh,Guntur,855.9,16.2843723,80.40853385,4.7,913
Hospital #18,Guntur,Andhra Pradesh,Guntur,855.9,16.31428629,80.45971931,4.6,575
Hospital #19,Guntur,Andhra Pradesh,Guntur,855.9,16.32434163,80.41280053,4.7,317
Hospital #20,Guntur,Andhra Pradesh,Guntur,855.9,16.29513292,80.43166953,4.4,281
Hospital #21,Guntur,Andhra Pradesh,Guntur,855.9,16.20046537,80.0029028,4,34
Hospital #22,Guntur,Andhra Pradesh,Guntur,855.9,16.30249851,80.43413724,4.6,575
Hospital #23,Guntur,Andhra Pradesh,Guntur,855.9,16.25014261,80.37129327,4.3,116
Hospital #24,Guntur,Andhra Pradesh,Guntur,855.9,16.34687162,80.55983634,4.2,16
Hospital #25,Guntur,Andhra Pradesh,Guntur,855.9,16.41006809,80.40154284,3.2,142
Hospital #26,Guntur,Andhra Pradesh,Guntur,855.9,16.3072801,80.42794991,4.6,443
Hospital #27,Guntur,Andhra Pradesh,Guntur,855.9,16.33791942,79.95152324,2.6,30
Hospital #28,Guntur,Andhra Pradesh,Guntur,855.9,16.30177068,80.4445697,4.8,19688
Hospital #29,Guntur,Andhra Pradesh,Guntur,855.9,16.38517875,80.30051259,3.2,161
Hospital #30,Guntur,Andhra Pradesh,Guntur,855.9,16.06682871,80.4268636,5,2
Hospital #31,Guntur,Andhra Pradesh,Guntur,855.9,16.30284319,80.51240553,2.7,168
Hospital #32,Guntur,Andhra Pradesh,Guntur,855.9,16.35351183,80.39153043,4.3,28
Hospital #33,Guntur,Andhra Pradesh,Guntur,855.9,16.33747273,80.44539567,4.4,2171
Hospital #34,Guntur,Andhra Pradesh,Guntur,855.9,16.24058876,80.10895287,2.3,92
Hospital #35,Guntur,Andhra Pradesh,Guntur,855.9,16.45554293,80.50209768,4,9
Hospital #36,Guntur,Andhra Pradesh,Guntur,855.9,16.2732101,80.46126206,4.5,479
Hospital #37,Guntur,Andhra Pradesh,Guntur,855.9,16.37446864,80.52953322,4,45
Hospital #38,Guntur,Andhra Pradesh,Guntur,855.9,16.37496436,80.31089033,5,11
Hospital #39,Guntur,Andhra Pradesh,Guntur,855.9,16.38769581,80.08647938,3.2,13
Hospital #40,Guntur,Andhra Pradesh,Guntur,855.9,16.31262569,80.47413896,4.1,439
Hospital #41,Guntur,Andhra Pradesh,Guntur,855.9,16.34341974,80.44037332,4.6,742
Hospital #42,Guntur,Andhra Pradesh,Guntur,855.9,14.34142835,78.7769168,2.9,28
Hospital #43,Kadapa,Andhra Pradesh,Ysr Kadapa,183.532,14.4665204,78.84326319,3.9,162
Hospital #44,Kadapa,Andhra Pradesh,Ysr Kadapa,183.532,14.48470699,78.80586846,3.7,180
Hospital #45,Kadapa,Andhra Pradesh,Ysr Kadapa,183.532,14.47066164,78.82192449,4.9,1889
Hospital #46,Kadapa,Andhra Pradesh,Ysr Kadapa,183.532,14.45879538,78.83310235,3.3,57
Hospital #47,Kadapa,Andhra Pradesh,Ysr Kadapa,183.532,14.50529288,78.75341414,3.3,89
Hospital #48,Kadapa,Andhra Pradesh,Ysr Kadapa,183.532,14.46916725,78.81863393,2.8,135
Hospital #49,Kakinada,Andhra Pradesh,Kakinada,693.04,17.03334825,82.22018897,4.9,4941
Hospital #50,Kakinada,Andhra Pradesh,Kakinada,693.04,15.82726295,78.04021836,4.7,2160
Hospital #51,Kurnool,Andhra Pradesh,Kurnool,284.67,15.83325186,78.03491914,4.8,1359
Hospital #52,Kurnool,Andhra Pradesh,Kurnool,284.67,15.77086741,78.03947406,3.6,414
